Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-4-6-CN-3-5-CF3BACl,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1(C#C(Cl)),Cl,CN,CF3,CN,34.3,1.903096977,1.6358,5.681,-12.171,1.2097,17.274,9.437,C1,1.6393,0.0035,5.415,-0.266,-11.914,1.2114,0.0017,17.098,-0.176,10.815,2.9175,0.153,-6.42,0.0147,0.0109,-0.0018,-0.00909,0.0508,0.0018,1.02E-06,-0.0147,-4.83,-4.811814131,-4.45,-4.434442157,0.015781864,-0.000224021,2.77,-0.01355
2-4-6-CN-3-5-NO2BACl,c1(C#N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(C#N)c1(C#C(Cl)),Cl,CN,NO2,CN,38.1,1.900699667,1.6341,5.707,-13.044,1.2103,17.228,10.32,C1,1.6377,0.0036,5.427,-0.28,-12.805,1.2121,0.0018,17.038,-0.19,11.808,2.9049,0.161,-6.429,0.0151,0.0112,-0.00183,-0.00935,0.0521,0.00183,2.81E-06,-0.0151,-5.23,-5.206479956,-4.85,-4.830676535,0.019302192,2.13E-05,5.15,-0.01415
2-4-6-CNBACl,c1(C#N)cc(C#N)cc(C#N)c1(C#C(Cl)),Cl,CN,H,CN,30.4,1.906193959,1.6386,5.636,-10.961,1.2098,17.289,8.128,C1,1.642,0.0034,5.388,-0.248,-10.689,1.2114,0.0016,17.13,-0.159,9.39,2.933,0.144,-6.348,0.0142,0.0105,-0.00176,-0.00879,0.0492,0.00176,1.97E-06,-0.0142,-4.38,-4.36750603,-4.02,-4.007579579,0.012801194,-0.000380773,3.32,-0.01262
2-4-6-F-3-5-CF3BACl,c1(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1(C#C(Cl)),Cl,F,CF3,F,28.2,1.910294554,1.6435,5.567,-8.407,1.2085,17.453,4.996,C1,1.647,0.0035,5.336,-0.231,-7.947,1.2098,0.0013,17.328,-0.125,5.942,2.9545,0.132,-6.388,0.0136,0.0101,-0.00169,-0.00839,0.0471,0.00169,2.17E-06,-0.0136,-3.93,-3.919294819,-3.58,-3.56837388,0.012048182,-0.000422063,3.11,-0.01149
2-4-6-F-3-5-NO2BACl,c1(F)c(N(=O)=O)c(F)c(N(=O)=O)c(F)c1(C#C(Cl)),Cl,F,NO2,F,31.7,1.907841236,1.6418,5.594,-9.17,1.2086,17.445,5.798,C1,1.6455,0.0037,5.347,-0.247,-8.696,1.21,0.0014,17.31,-0.135,6.812,2.9415,0.138,-6.429,0.014,0.0104,-0.00173,-0.00863,0.0484,0.00173,1.16E-06,-0.014,-4.29,-4.275795516,-3.93,-3.918009297,0.012324287,-0.000333584,3.26,-0.01226
2-4-6-FBACl,c1(F)cc(F)cc(F)c1(C#C(Cl)),Cl,F,H,F,21.8,1.91602036,1.6468,5.514,-6.946,1.2088,17.428,3.451,C1,1.6502,0.0034,5.311,-0.203,-6.512,1.2099,0.0011,17.322,-0.106,4.279,2.9807,0.121,-6.308,0.0129,0.00954,-0.00162,-0.00792,0.0447,0.00162,2.74E-06,-0.0129,-3.26,-3.24694349,-2.93,-2.9208981,0.009337341,-0.000235442,2.83,-0.01008
2-4-6-NH2BACl,c1(N)cc(N)cc(N)c1(C#C(Cl)),Cl,NH2,H,NH2,16.5,1.921387521,1.6543,5.39,-3.519,1.2144,16.826,-1.096,C1,1.6574,0.0031,5.216,-0.174,-3.077,1.215,0.0006,16.782,-0.044,-0.375,3.0116,0.105,-6.521,0.0122,0.00895,-0.00154,-0.00741,0.042,0.00154,2.13E-06,-0.0122,-2.62,-2.607384553,-2.31,-2.29610399,0.013787011,0.000108998,2.56,-0.00873
2-4-6-OHBACl,c1(O)cc(O)cc(O)c1(C#C(Cl)),Cl,OH,H,OH,24.9,1.914619205,1.6501,5.46,-4.834,1.2146,16.87,0.276,C1,1.6537,0.0036,5.247,-0.213,-4.248,1.2154,0.0008,16.796,-0.074,0.997,2.9722,0.124,-6.636,0.0132,0.00972,-0.00165,-0.00807,0.0454,0.00165,3.97E-07,-0.0132,-3.52,-3.504270703,-3.19,-3.176913227,0.013422428,-0.000335655,2.96,-0.01066
2-4-6-SHBACl,c1(S)cc(S)cc(S)c1(C#C(Cl)),Cl,SH,H,SH,24.8,1.914489337,1.6493,5.47,-6.153,1.2127,17.018,2.195,C1,1.6528,0.0035,5.258,-0.212,-5.613,1.2137,0.001,16.929,-0.089,3.016,2.9702,0.125,-6.786,0.0132,0.00976,-0.00165,-0.00812,0.0457,0.00165,4.78E-07,-0.0132,-3.55,-3.536909355,-3.21,-3.200901991,0.009500494,-0.000402485,2.96,-0.01076
2-6_NH2_3-4-5_CNBACl,c1(N)c(C#N)c(C#N)c(C#N)c(N)c1(C#C(Cl)),Cl,NH2,CN,CN,33.8,1.909275576,1.6475,5.499,-6.928,1.2131,17.001,2.708,C1,1.6514,0.0039,5.259,-0.24,-6.349,1.2141,0.001,16.904,-0.097,3.622,2.9484,0.135,-6.737,0.0138,0.0102,-0.00171,-0.00851,0.0477,0.00171,3.94E-06,-0.0138,-4.25,-4.237354284,-3.9,-3.888283707,0.011797179,-8.09E-05,3.23,-0.01213
2-6_NH2_3-4-5_FBACl,c1(N)c(F)c(F)c(F)c(N)c1(C#C(Cl)),Cl,NH2,F,F,24.3,1.91594937,1.6506,5.451,-5.225,1.2129,17.008,1.158,C1,1.6541,0.0035,5.246,-0.205,-4.687,1.2138,0.0009,16.933,-0.075,1.877,2.9808,0.121,-6.583,0.0129,0.00955,-0.00162,-0.00793,0.0447,0.00162,2.35E-06,-0.0129,-3.36,-3.347163033,-3.04,-3.026898982,0.013497729,-0.000396712,2.85,-0.01023
