Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
opp_H_2-4-6_OH_3-5_CNBABr,c1(O)c(C#N)c(O)c(C#N)c(O)c1(C#C(Br)),Br,OH,CN,OH,30.6,1.994791743,1.7963,4.531,-5.144,1.2105,17.227,2.628,C1,1.8078,0.0115,4.157,-0.374,-3.823,1.2119,0.0014,17.093,-0.134,3.334,2.9185,0.17,-11.306,0.017,0.0124,-0.00143,-0.011,0.0553,0.00143,6.87E-07,-0.017,-5.49,-5.443088688,-5.04,-4.989145626,0.050282336,0.000572038,6.25,-0.02395
opp_H_2-4-6_OH_3-5_FBABr,c1(O)c(F)c(O)c(F)c(O)c1(C#C(Br)),Br,OH,F,OH,25.2,1.998747522,1.7978,4.518,-4.008,1.2109,17.19,1.643,C1,1.8085,0.0107,4.181,-0.337,-2.786,1.2122,0.0013,17.069,-0.121,2.295,2.9382,0.167,-11.084,0.0163,0.0119,-0.00142,-0.0105,0.0534,0.00142,8.41E-07,-0.0163,-4.89,-4.847456671,-4.45,-4.403780349,0.044804178,0.001415473,5.84,-0.02185
opp_H_2-4-6_SH_3-5_CNBABr,c1(S)c(C#N)c(S)c(C#N)c(S)c1(C#C(Br)),Br,SH,CN,SH,35.4,1.990620222,1.7939,4.552,-6.71,1.2124,17.059,3.937,C1,1.8062,0.0123,4.132,-0.42,-5.312,1.2139,0.0015,16.913,-0.146,4.746,2.8949,0.174,-11.741,0.0178,0.013,-0.00143,-0.0116,0.0577,0.00143,1.04E-06,-0.0178,-6.16,-6.102638823,-5.68,-5.624409624,0.055547141,4.32E-05,6.78,-0.02656
opp_H_2-4-6_SH_3-5_FBABr,c1(S)c(F)c(S)c(F)c(S)c1(C#C(Br)),Br,SH,F,SH,30.4,1.994344059,1.7953,4.54,-5.68,1.2125,17.059,3.053,C1,1.8068,0.0115,4.157,-0.383,-4.386,1.2139,0.0014,16.924,-0.135,3.823,2.9122,0.171,-11.476,0.0172,0.0125,-0.00143,-0.0111,0.0559,0.00143,1.20E-06,-0.0172,-5.61,-5.556272577,-5.14,-5.090403469,0.048970841,0.00062569,6.39,-0.02455
opp_H_2-4-6-OHBABr,c1(O)cc(O)cc(O)c1(C#C(Br)),Br,OH,H,OH,21.2,2.002617983,1.7995,4.5,-2.823,1.2112,17.157,0.585,C1,1.8097,0.0102,4.191,-0.309,-1.638,1.2124,0.0012,17.051,-0.106,1.178,2.9552,0.163,-11.035,0.0158,0.0115,-0.00141,-0.0101,0.0518,0.00141,8.34E-07,-0.0158,-4.41,-4.365595891,-3.98,-3.937459813,0.040339448,0.002200739,5.52,-0.0202
opp_H_2-4-6-SHBABr,c1(S)cc(S)cc(S)c1(C#C(Br)),Br,SH,H,SH,27.6,1.996767709,1.7964,4.529,-4.854,1.2127,17.03,2.295,C1,1.8075,0.0111,4.168,-0.361,-3.58,1.214,0.0013,16.906,-0.124,3.012,2.9232,0.17,-11.424,0.0168,0.0123,-0.00143,-0.0108,0.0548,0.00143,3.76E-07,-0.0168,-5.28,-5.229804484,-4.81,-4.763815991,0.045011257,0.001172753,6.15,-0.02336
opp_H_2-6_3-5_4-OHBABr,c1(O)c(O)c(O)c(O)c(O)c1(C#C(Br)),Br,OH,OH,OH,21.6,2.001802954,1.799,4.506,-3.263,1.2111,17.174,0.99,C1,1.8092,0.0102,4.19,-0.316,-2.084,1.2123,0.0012,17.063,-0.111,1.617,2.9512,0.164,-11.073,0.0159,0.0116,-0.00142,-0.0102,0.0521,0.00142,2.85E-07,-0.0159,-4.5,-4.458934164,-4.06,-4.01670197,0.041133248,0.002164782,5.59,-0.02055
opp_H_2-6_3-5_4-SHBABr,c1(S)c(S)c(S)c(S)c(S)c1(C#C(Br)),Br,SH,SH,SH,28.2,1.996093093,1.7957,4.536,-5.437,1.2124,17.051,2.897,C1,1.8068,0.0111,4.17,-0.366,-4.161,1.2138,0.0014,16.924,-0.127,3.659,2.9206,0.17,-11.606,0.0169,0.0123,-0.00143,-0.0109,0.0551,0.00143,2.54E-06,-0.0169,-5.36,-5.309592317,-4.89,-4.843585946,0.045538365,0.00087569,,-0.02259
opp_H_2-6_3-5-OHBABr,c1(O)c(O)cc(O)c(O)c1(C#C(Br)),Br,OH,OH,H,21.8,2.000988361,1.7981,4.514,-4.303,1.2108,17.207,2.185,C1,1.8084,0.0103,4.193,-0.321,-3.166,1.2121,0.0013,17.085,-0.122,2.856,2.9476,0.165,-11.021,0.016,0.0117,-0.00142,-0.0103,0.0525,0.00142,2.53E-06,-0.016,-4.58,-4.541100258,-4.15,-4.106939294,0.040970095,0.002090611,5.65,-0.02086
opp_H_2-6_3-5-SHBABr,c1(S)c(S)cc(S)c(S)c1(C#C(Br)),Br,SH,SH,H,29.3,1.994868878,1.7955,4.537,-5.756,1.2123,17.071,3.399,C1,1.8068,0.0113,4.165,-0.372,-4.444,1.2137,0.0014,16.937,-0.134,4.086,2.9174,0.17,-11.443,0.017,0.0124,-0.00143,-0.011,0.0554,0.00143,1.12E-06,-0.017,-5.46,-5.411951667,-4.99,-4.943083688,0.046153324,0.000762989,6.27,-0.02397
opp_H_2-6_OH_3-5_CN_4_NO2BABr,c1(O)c(C#N)c(N(=O)=O)c(C#N)c(O)c1(C#C(Br)),Br,OH,CN,NO2,36.8,1.989678167,1.7929,4.559,-8.54,1.2108,17.189,5.95,C1,1.8052,0.0123,4.137,-0.422,-7.472,1.2125,0.0017,17.014,-0.175,7.072,2.8932,0.175,-11.5,0.0179,0.013,-0.00143,-0.0116,0.0578,0.00143,1.67E-06,-0.0179,-6.26,-6.197882215,-5.78,-5.721940939,0.058126205,-6.71E-05,6.79,-0.02672
opp_H_2-6_OH_3-5_F_4_NO2BABr,c1(O)c(F)c(N(=O)=O)c(F)c(O)c1(C#C(Br)),Br,OH,F,NO2,32.5,1.992681049,1.7946,4.546,-7.007,1.2108,17.204,4.592,C1,1.8061,0.0115,4.159,-0.387,-5.894,1.2124,0.0016,17.047,-0.157,5.538,2.9106,0.172,-11.268,0.0173,0.0126,-0.00143,-0.0112,0.0561,0.00143,1.28E-06,-0.0173,-5.73,-5.670918562,-5.26,-5.20545631,0.054197995,0.000345695,6.41,-0.02474
