Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-4-6-CN-3-5-CF3BAAt,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1(C#C([At])),At,CN,CF3,CN,62,2.096355849,2.0918,3.099,-9.125,1.2141,16.816,8.315,C1,2.1388,0.047,2.399,-0.7,-5.985,1.2176,0.0035,16.469,-0.347,9.239,2.8028,0.312,-16.796,0.026643032,0.020684846,-0.000619052,-0.020065794,0.08521692,0.000619052,2.27E-06,-0.026643032,-13.78,-13.2448641,-13.14,-12.60969222,0.52744056,0.002867216,0.13,-0.07152
2-4-6-CN-3-5-NO2BAAt,c1(C#N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(C#N)c1(C#C([At])),At,CN,NO2,CN,66.1,2.091266695,2.0911,3.091,-10.62,1.2147,16.76,9.398,C1,2.1406,0.0495,2.352,-0.739,-7.482,1.2184,0.0037,16.389,-0.371,10.435,2.7884,0.324,-17.002,0.027443552,0.021324753,-0.000521179,-0.020803574,0.087385126,0.000521179,1.82E-07,-0.027443552,-14.45,-13.89719788,-13.8,-13.24769927,0.549817549,0.002483181,0.15,-0.07496
2-4-6-CNBAAt,c1(C#N)cc(C#N)cc(C#N)c1(C#C([At])),At,CN,H,CN,58.1,2.099877466,2.0929,3.11,-7.036,1.2141,16.842,6.757,C1,2.1372,0.0443,2.457,-0.653,-3.912,1.2173,0.0032,16.524,-0.318,7.576,2.8198,0.303,-16.534,0.025745377,0.019958738,-0.000719066,-0.019239672,0.082712477,0.000719066,1.61E-06,-0.025745377,-12.96,-12.51958799,-12.34,-11.89804983,0.438707579,0.003242593,18.29,-0.06745
2-4-6-F-3-5-CF3BAAt,c1(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1(C#C([At])),At,F,CF3,F,55.6,2.105207367,2.0957,3.12,-2.651,1.2127,17.017,3.074,C1,2.1372,0.0415,2.522,-0.598,0.733,1.2154,0.0027,16.751,-0.266,3.52,2.8406,0.297,-16.145,0.024698536,0.019096767,-0.000820415,-0.018276351,0.079669915,0.000820415,2.27E-06,-0.024698536,-12.15,-11.76239173,-11.55,-11.16008957,0.386834506,0.003075926,17.12,-0.0628
2-4-6-F-3-5-NO2BAAt,c1(F)c(N(=O)=O)c(F)c(N(=O)=O)c(F)c1(C#C([At])),At,F,NO2,F,59.2,2.101218197,2.0955,3.112,-3.847,1.2129,17.004,3.993,C1,2.1391,0.0436,2.477,-0.635,-0.383,1.2158,0.0029,16.72,-0.284,4.496,2.8265,0.301,-16.307,0.025414197,0.019669175,-0.000744618,-0.018924557,0.081656404,0.000744618,1.78E-06,-0.025414197,-12.77,-12.34445072,-12.17,-11.74370073,0.423625388,0.002673881,17.92,-0.06607
2-4-6-FBAAt,c1(F)cc(F)cc(F)c1(C#C([At])),At,F,H,F,49,2.112368314,2.0961,3.139,-0.375,1.213,16.999,1.322,C1,2.1337,0.0376,2.607,-0.532,2.862,1.2154,0.0024,16.766,-0.233,1.67,2.8675,0.292,-15.843,0.023414761,0.018054452,-0.000934178,-0.017120274,0.075955626,0.000934178,1.77E-06,-0.023414761,-10.98,-10.65580257,-10.41,-10.08647116,0.319559213,0.003969625,15.69,-0.05688
2-4-6-NH2BAAt,c1(N)cc(N)cc(N)c1(C#C([At])),At,NH2,H,NH2,43.5,2.123111238,2.0993,3.149,5.923,1.2186,16.41,-3.982,C1,2.1334,0.0341,2.676,-0.473,9.089,1.2203,0.0017,16.272,-0.138,-3.65,2.894,0.278,-16.086,0.0222,0.0171,-0.00102,-0.0161,0.0724,0.00102,8.66E-07,-0.0222,-9.95,-9.662471979,-9.4,-9.114285951,0.281345767,0.004368282,14.5,-0.05189
2-4-6-OHBAAt,c1(O)cc(O)cc(O)c1(C#C([At])),At,OH,H,OH,52.4,2.11044498,2.0996,3.123,3.523,1.2187,16.454,-2.307,C1,2.1389,0.0393,2.566,-0.557,7.065,1.2208,0.0021,16.27,-0.184,-2.068,2.8558,0.294,-16.182,0.024,0.0185,-0.000881,-0.0176,0.0775,0.000881,3.93E-07,-0.024,-11.5,-11.14590444,-10.93,-10.57131676,0.355412596,0.003270642,16.38,-0.0598
2-4-6-SHBAAt,c1(S)cc(S)cc(S)c1(C#C([At])),At,SH,H,SH,52.4,2.110863322,2.0984,3.129,1.408,1.2169,16.595,-0.211,C1,2.1377,0.0393,2.568,-0.561,4.904,1.2192,0.0023,16.383,-0.212,0.149,2.8547,0.294,-16.567,0.024,0.0185,-0.000876,-0.0177,0.0777,0.000876,5.91E-07,-0.024,-11.56,-11.20381415,-10.97,-10.61719778,0.349616918,0.003185301,16.48,-0.0601
2-6_NH2_3-4-5_CNBAAt,c1(N)c(C#N)c(C#N)c(C#N)c(N)c1(C#C([At])),At,NH2,CN,CN,61.3,2.105229363,2.0996,3.104,0.423,1.2173,16.575,0.375,C1,2.1427,0.0431,2.483,-0.621,4.097,1.2197,0.0024,16.347,-0.228,0.825,2.8303,0.3,-16.735,0.0253,0.0195,-0.000757,-0.0188,0.0811,0.000757,2.16E-06,-0.0253,-12.76,-12.34406229,-12.16,-11.7456706,0.412340258,0.001989142,,-0.06553
2-6_NH2_3-4-5_FBAAt,c1(N)c(F)c(F)c(F)c(N)c1(C#C([At])),At,NH2,F,F,51.7,2.113148479,2.0992,3.131,2.55,1.2171,16.587,-1.308,C1,2.1372,0.038,2.593,-0.538,5.943,1.2193,0.0022,16.397,-0.19,-1.041,2.8646,0.292,-15.998,0.0236,0.0182,-0.000915,-0.0172,0.0763,0.000915,2.97E-06,-0.0236,-11.2,-10.86116761,-10.64,-10.2997572,0.337107516,0.003135288,15.96,-0.058
2-6_NH2_3-5_CN_4_NO2BAAt,c1(N)c(C#N)c(N(=O)=O)c(C#N)c(N)c1(C#C([At])),At,NH2,CN,NO2,61.5,2.10392466,2.0996,3.102,0.173,1.2172,16.585,0.565,C1,2.1429,0.0433,2.478,-0.624,3.813,1.2197,0.0025,16.354,-0.231,1.026,2.8287,0.3,-16.659,0.0253,0.0196,-0.000749,-0.0188,0.0813,0.000749,1.38E-06,-0.0253,-12.82,-12.40055007,-12.22,-11.79913088,0.418875141,0.001993974,,-0.06626
2-6_NH2_3-5_F_4_NO2BAAt,c1(N)c(F)c(N(=O)=O)c(F)c(N)c1(C#C([At])),At,NH2,F,NO2,56.3,2.108159102,2.0989,3.119,0.713,1.2168,16.626,0.275,C1,2.1394,0.0405,2.539,-0.58,4.126,1.2192,0.0024,16.409,-0.217,0.728,2.8472,0.295,-16.365,0.0244,0.0188,-0.000839,-0.018,0.0787,0.000839,1.27E-06,-0.0244,-11.96,-11.58011905,-11.39,-11.006964,0.38047156,0.002564443,16.89,-0.06188
2-6_NH2_3-5_NO2_4_CNBAAt,c1(N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(N)c1(C#C([At])),At,NH2,NO2,CN,62.3,2.103373112,2.0997,3.1,0.111,1.2174,16.561,0.591,C1,2.1436,0.0439,2.465,-0.635,3.826,1.2199,0.0025,16.33,-0.231,1.052,2.8248,0.301,-16.801,0.0255,0.0197,-0.000727,-0.019,0.0818,0.000727,9.76E-07,-0.0255,-12.97,-12.53892846,-12.38,-11.94582473,0.432228544,0.001946723,18.18,-0.06722
2-6_NH2_3-5_NO2_4_FBAAt,c1(N)c(N(=O)=O)c(F)c(N(=O)=O)c(N)c1(C#C([At])),At,NH2,NO2,F,58.9,2.106806487,2.1001,3.111,1.743,1.2176,16.554,-0.801,C1,2.1421,0.042,2.508,-0.603,5.475,1.2198,0.0022,16.347,-0.207,-0.553,2.8377,0.297,-16.431,0.0249,0.0192,-0.000794,-0.0184,0.08,0.000794,6.95E-07,-0.0249,-12.39,-11.99256849,-11.81,-11.40785985,0.399905529,0.002234624,17.43,-0.06419
