Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$^{complex}_{C\equiv C}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$,R$^{donor}_{C\equiv C}$,k$^{a}$$^{donor}$$_{C\equiv C}$,$\mu^{donor}_{C\equiv C}$,$\Delta$R$_{C\equiv C}$,k$^{a}$$^{complex}$$_{C\equiv C}$,$\Delta$k$^{a}_{C\equiv C}$,$\mu^{complex}_{C\equiv C}$
opp_H_2-6_SH_3-5_CN_4_NO2BABr,c1(S)c(C#N)c(N(=O)=O)c(C#N)c(S)c1(C#C(Br)),Br,SH,CN,NO2,40.6,1.98693139,1.7917,4.571,-8.548,C1,1.8047,0.013,4.11,-0.461,-7.169,1.2142,2.8752,0.182,-11.79,0.0185,0.0135,-0.00143,-0.0121,0.0597,0.00143,7.35e-07,-0.0185,-6.78,-6.716223887,-6.29,-6.225666659,0.064602103,-0.000268762,7.24,-0.02891,1.2124,17.057,5.81,0.0018,16.883,-0.174,6.732
opp_H_2-6_SH_3-5_F_4_NO2BABr,c1(S)c(F)c(N(=O)=O)c(F)c(S)c1(C#C(Br)),Br,SH,F,NO2,36.3,1.989004478,1.793,4.559,-7.535,C1,1.8054,0.0124,4.133,-0.426,-6.234,1.214,2.8908,0.175,-11.516,0.018,0.0131,-0.00143,-0.0117,0.0581,0.00143,4.52e-07,-0.018,-6.27,-6.212459261,-5.79,-5.730639547,0.059343573,1.69e-05,6.86,-0.02698,1.2124,17.077,4.951,0.0016,16.915,-0.162,5.814
opp_H_2-6_SH_3-5_NO2_4_CNBABr,c1(S)c(N(=O)=O)c(C#N)c(N(=O)=O)c(S)c1(C#C(Br)),Br,SH,NO2,CN,40.9,1.986054301,1.791,4.577,-9.024,C1,1.804,0.013,4.115,-0.462,-7.685,1.2143,2.8742,0.182,-11.832,0.0186,0.0135,-0.00143,-0.0121,0.0598,0.00143,9.69e-07,-0.0186,-6.81,-6.749557192,-6.32,-6.254677014,0.065599843,-0.000276857,7.25,-0.02901,1.2124,17.044,6.3,0.0019,16.864,-0.18,7.281
opp_H_2-6_SH_3-5_NO2_4_FBABr,c1(S)c(N(=O)=O)c(F)c(N(=O)=O)c(S)c1(C#C(Br)),Br,SH,NO2,F,37.3,1.988540138,1.793,4.561,-7.089,C1,1.8056,0.0126,4.127,-0.434,-5.627,1.2137,2.8882,0.176,-11.597,0.0181,0.0132,-0.00143,-0.0117,0.0583,0.00143,4.1e-07,-0.0181,-6.37,-6.31346319,-5.89,-5.829444517,0.060642518,-8.7e-05,6.93,-0.02733,1.2121,17.093,4.501,0.0016,16.936,-0.157,5.217
opp_H_2-6_SH_4_NH2_3-5_CNBABr,c1(S)c(C#N)c(N)c(C#N)c(S)c1(C#C(Br)),Br,SH,CN,NH2,27.3,1.996152873,1.7966,4.528,-4.434,C1,1.8077,0.0111,4.168,-0.36,-3.178,1.2141,2.9242,0.169,-11.353,0.0168,0.0123,-0.00143,-0.0108,0.0547,0.00143,1.57e-06,-0.0168,-5.24,-5.193841915,-4.79,-4.739651838,0.049290871,0.001057291,6.13,-0.02326,1.2128,17.028,1.826,0.0013,16.909,-0.119,2.538
opp_H_2-6_SH_4_NH2_3-5_FBABr,c1(S)c(F)c(N)c(F)c(S)c1(C#C(Br)),Br,SH,F,NH2,32.2,1.993451299,1.7954,4.539,-5.295,C1,1.8072,0.0118,4.145,-0.394,-3.895,1.2139,2.9076,0.172,-11.619,0.0174,0.0127,-0.00143,-0.0112,0.0564,0.00143,3.53e-06,-0.0174,-5.77,-5.719268169,-5.3,-5.247583441,0.052077013,0.000339545,6.5,-0.02513,1.2125,17.04,2.523,0.0014,16.911,-0.129,3.232
opp_H_2-6-OHBABr,c1(O)cccc(O)c1(C#C(Br)),Br,OH,H,H,22.3,2.001064663,1.7988,4.507,-3.733,C1,1.809,0.0102,4.19,-0.317,-2.558,1.2122,2.95,0.165,-10.98,0.0159,0.0116,-0.00142,-0.0102,0.0523,0.00142,1.07e-06,-0.0159,-4.55,-4.509824557,-4.11,-4.067989682,0.040080287,0.001930031,5.61,-0.02068,1.211,17.183,1.636,0.0012,17.066,-0.117,2.25
opp_H_2-6-SHBABr,c1(S)cccc(S)c1(C#C(Br)),Br,SH,H,H,27.3,1.996480739,1.7963,4.53,-5.098,C1,1.8074,0.0111,4.169,-0.361,-3.803,1.2139,2.9237,0.17,-11.202,0.0168,0.0123,-0.00143,-0.0108,0.0548,0.00143,4.63e-07,-0.0168,-5.26,-5.210841147,-4.8,-4.753865,0.045067732,0.001067268,6.14,-0.0233,1.2125,17.058,2.764,0.0014,16.93,-0.128,3.384
opp_H_3-4-5-OHBABr,c1c(O)c(O)c(O)cc1(C#C(Br)),Br,H,OH,OH,26.0,1.999226248,1.7999,4.494,-3.037,C1,1.8107,0.0108,4.161,-0.333,-1.747,1.2131,2.9394,0.167,-11.126,0.0163,0.0119,-0.00142,-0.0105,0.0532,0.00142,5.65e-07,-0.0163,-4.91,-4.867507482,-4.48,-4.434213518,0.044675539,0.001110943,5.84,-0.02187,1.2119,17.125,0.993,0.0012,17.008,-0.117,1.612
opp_H_3-4-5-SHBABr,c1c(S)c(S)c(S)cc1(C#C(Br)),Br,H,SH,SH,29.0,1.995956113,1.7984,4.51,-4.439,C1,1.8096,0.0112,4.152,-0.358,-3.168,1.2131,2.9253,0.169,-11.418,0.0168,0.0122,-0.00142,-0.0108,0.0546,0.00142,7.02e-07,-0.0168,-5.31,-5.258500494,-4.86,-4.81290673,0.04624745,0.00084582,6.12,-0.02329,1.2117,17.14,2.248,0.0014,17.01,-0.13,3.048
opp_H_3-5-OHBABr,c1c(O)cc(O)cc1(C#C(Br)),Br,H,OH,H,26.1,1.998554305,1.7991,4.504,-4.182,C1,1.8099,0.0108,4.163,-0.341,-2.91,1.2128,2.9352,0.168,-11.069,0.0164,0.012,-0.00142,-0.0106,0.0536,0.00142,2.18e-06,-0.0164,-5.0,-4.958747991,-4.57,-4.524091342,0.044767783,0.001140875,5.91,-0.02224,1.2115,17.17,2.334,0.0013,17.041,-0.129,2.972
opp_H_3-5-SHBABr,c1c(S)cc(S)cc1(C#C(Br)),Br,H,SH,H,28.6,1.996115341,1.7984,4.51,-4.673,C1,1.8095,0.0111,4.154,-0.356,-3.374,1.2129,2.9263,0.169,-11.259,0.0167,0.0122,-0.00143,-0.0108,0.0545,0.00143,1.95e-07,-0.0167,-5.28,-5.229584856,-4.82,-4.773121275,0.046121948,0.000756776,6.1,-0.02317,1.2116,17.164,2.706,0.0013,17.031,-0.133,3.414
2-3-4-5-6-BH2BAI,c1(B)c(B)c(B)c(B)c(B)c1(C#C(I)),I,BH2,BH2,BH2,37.5,2.140446871,1.9959,3.612,-4.845,C1,2.0188,0.0229,3.127,-0.485,-2.871,1.2163,2.9352,0.194,15.205,0.0201,0.014,-0.000953,-0.013,0.0597,0.000953,6.34e-10,-0.0201,-7.94,-7.786711733,-7.37,-7.220585031,0.149332828,8.21e-05,,-0.04093,1.2143,16.828,5.149,0.002,16.62,-0.208,6.166
2-3-4-5-6-ClBAI,c1(Cl)c(Cl)c(Cl)c(Cl)c(Cl)c1(C#C(I)),I,Cl,Cl,Cl,39.4,2.137437649,1.9959,3.614,-3.878,C1,2.0203,0.0244,3.096,-0.518,-1.475,1.2146,2.9243,0.199,-15.209,0.02048602,0.014261453,-0.000918377,-0.013343076,0.060719366,0.000918377,9.79e-07,-0.02048602,-8.27,-8.108083884,-7.69,-7.528111962,0.15954429,0.002343748,2.77,-0.04301,1.2126,17.006,3.615,0.002,16.814,-0.192,4.305
2-3-4-5-6-CNBAI,c1(C#N)c(C#N)c(C#N)c(C#N)c(C#N)c1(C#C(I)),I,CN,CN,CN,51.8,2.12263088,1.991,3.601,-10.798,C1,2.0214,0.0304,2.918,-0.683,-8.42,1.2167,2.855,0.237,-16.034,0.02351965,0.016293907,-0.000633779,-0.015660128,0.067710837,0.000633779,2.4e-07,-0.02351965,-10.51,-10.25376477,-9.88,-9.62740515,0.250984975,0.001609876,NAN,-0.05545,1.2138,16.841,9.103,0.0029,16.555,-0.286,10.289
2-3-4-5-6-FBAI,c1(F)c(F)c(F)c(F)c(F)c1(C#C(I)),I,F,F,F,40.1,2.135710482,1.9967,3.607,-3.059,C1,2.0216,0.0249,3.082,-0.525,-0.545,1.2143,2.9202,0.201,-14.77,0.020642217,0.014371515,-0.00090781,-0.013463704,0.061117346,0.00090781,1.93e-06,-0.020642217,-8.38,-8.209062713,-7.81,-7.640367177,0.167181081,0.002451742,10.59,-0.04378,1.2124,17.06,2.634,0.0019,16.871,-0.189,3.159
2-3-4-5-6-NH2BAI,c1(N)c(N)c(N)c(N)c(N)c1(C#C(I)),I,NH2,NH2,NH2,32.5,2.147042032,2.0014,3.598,3.699,C1,2.023,0.0216,3.164,-0.434,6.102,1.2187,2.9651,0.18,-14.906,0.0189,0.0132,-0.00101,-0.0122,0.0568,0.00101,4.88e-07,-0.0189,-7.13,-6.992398348,-6.6,-6.463323097,0.133495743,0.003181159,9.28,-0.03736,1.2175,16.542,-3.208,0.0012,16.438,-0.104,-2.755
2-3-4-5-6-OHBAI,c1(O)c(O)c(O)c(O)c(O)c1(C#C(I)),I,OH,OH,OH,41.0,2.137378453,2.0007,3.586,2.009,C1,2.0257,0.025,3.07,-0.516,4.738,1.2196,2.9228,0.199,-15.119,0.0205,0.0143,-0.000911,-0.0134,0.0608,0.000911,7.71e-07,-0.0205,-8.35,-8.168240082,-7.8,-7.623203654,0.174763278,0.002033068,10.6,-0.04377,1.2181,16.508,-2.193,0.0015,16.378,-0.13,-1.794
2-3-4-5-6-SHBAI,c1(S)c(S)c(S)c(S)c(S)c1(C#C(I)),I,SH,SH,SH,41.4,2.135786657,1.9994,3.593,-0.341,C1,2.0246,0.0252,3.066,-0.527,2.442,1.2182,2.9164,0.203,-15.717,0.0208,0.0145,-0.000892,-0.0136,0.0615,0.000892,3.24e-06,-0.0208,-8.52,-8.342408482,-7.95,-7.77448371,0.173569128,0.001947162,,-0.04469,1.2165,16.622,0.265,0.0017,16.467,-0.155,0.767
2-3-5-6-BH2BAI,c1(B)c(B)cc(B)c(B)c1(C#C(I)),I,BH2,BH2,H,37.2,2.140055648,1.9993,3.593,-1.034,C1,2.0228,0.0235,3.103,-0.49,1.454,1.2175,2.9349,0.192,-14.967,0.0201,0.014,-0.000948,-0.013,0.0597,0.000948,1.18e-06,-0.0201,-7.94,-7.779333539,-7.38,-7.218573432,0.15872288,0.002703687,10.21,-0.04174,1.2157,16.747,1.04,0.0018,16.574,-0.173,1.512
2-3-5-6-ClBAI,c1(Cl)c(Cl)cc(Cl)c(Cl)c1(C#C(I)),I,Cl,Cl,H,38.7,2.137119832,1.9959,3.615,-3.834,C1,2.02,0.0241,3.105,-0.51,-1.452,1.2146,2.9274,0.197,-14.984,0.020358925,0.014175494,-0.000928855,-0.013246638,0.06041744,0.000928855,1.49e-07,-0.020358925,-8.17,-8.013304849,-7.6,-7.441142268,0.156375368,0.002482365,10.39,-0.04264,1.2126,17.012,3.631,0.002,16.819,-0.193,4.26
2-3-5-6-CN-4-CF3BAI,c1(C#N)c(C#N)c(C(F)(F)F)c(C#N)c(C#N)c1(C#C(I)),I,CN,CN,CF3,50.1,2.123841087,1.9915,3.6,-9.842,C1,2.0214,0.0299,2.934,-0.666,-7.39,1.2162,2.8611,0.235,-15.782,0.023227361,0.016105584,-0.000667452,-0.015438132,0.067092227,0.000667452,7.61e-07,-0.023227361,-10.27,-10.02896576,-9.65,-9.404110214,0.244107471,0.001782315,50.05,-0.05443,1.2135,16.883,8.355,0.0027,16.608,-0.275,9.384
2-3-5-6-CN-4-NO2BAI,c1(C#N)c(C#N)c(N(=O)=O)c(C#N)c(C#N)c1(C#C(I)),I,CN,CN,NO2,51.8,2.122504088,1.991,3.599,-10.607,C1,2.0216,0.0306,2.914,-0.685,-8.221,1.2166,2.8541,0.237,-15.931,0.023560765,0.016322134,-0.000629019,-0.015693115,0.067804702,0.000629019,6.7e-07,-0.023560765,-10.53,-10.27791761,-9.91,-9.652958994,0.255415192,0.001625814,76.03,-0.05582,1.2137,16.856,8.946,0.0029,16.569,-0.287,10.098
2-3-5-6-CNBAI,c1(C#N)c(C#N)cc(C#N)c(C#N)c1(C#C(I)),I,CN,CN,H,47.7,2.125208942,1.9924,3.602,-8.47,C1,2.0213,0.0289,2.965,-0.637,-5.962,1.2158,2.8719,0.23,-15.556,0.022721507,0.01577556,-0.000723438,-0.015052121,0.065996069,0.000723438,1.6e-06,-0.022721507,-9.88,-9.655877481,-9.27,-9.042637871,0.225398275,0.001963854,12.38,-0.0523,1.2133,16.92,7.242,0.0025,16.663,-0.257,8.124
2-3-5-6-F-4-CF3BAI,c1(F)c(F)c(C(F)(F)F)c(F)c(F)c1(C#C(I)),I,F,F,CF3,42.8,2.132654504,1.9958,3.605,-4.771,C1,2.0216,0.0258,3.053,-0.552,-2.29,1.2145,2.9077,0.209,-15.046,0.021160249,0.014720459,-0.000867243,-0.013853216,0.062350864,0.000867243,2.14e-06,-0.021160249,-8.78,-8.595752892,-8.2,-8.016026012,0.181889904,0.002084085,11.02,-0.04588,1.2124,17.049,4.181,0.0021,16.84,-0.209,4.864
2-3-5-6-F-4-NO2BAI,c1(F)c(F)c(N(=O)=O)c(F)c(F)c1(C#C(I)),I,F,F,NO2,44.6,2.131417716,1.9954,3.604,-5.523,C1,2.0219,0.0265,3.034,-0.57,-3.089,1.2147,2.8996,0.214,-15.234,0.021505967,0.014951642,-0.000836752,-0.01411489,0.063153632,0.000836752,3.55e-07,-0.021505967,-9.05,-8.852071697,-8.46,-8.265350569,0.192770919,0.001878512,11.31,-0.04729,1.2126,17.035,4.784,0.0021,16.816,-0.219,5.594
2-3-5-6-FBAI,c1(F)c(F)cc(F)c(F)c1(C#C(I)),I,F,F,H,39.0,2.136273982,1.9966,3.609,-3.311,C1,2.021,0.0244,3.093,-0.516,-0.862,1.2143,2.9245,0.199,-14.712,0.020468148,0.014251626,-0.000921176,-0.01333045,0.060691251,0.000921176,8.62e-07,-0.020468148,-8.24,-8.074305048,-7.68,-7.515962742,0.161439369,0.002597889,10.44,-0.04307,1.2124,17.06,2.962,0.0019,16.869,-0.191,3.511
2-3-5-6-NH2BAI,c1(N)c(N)cc(N)c(N)c1(C#C(I)),I,NH2,NH2,H,33.3,2.144907364,2.0011,3.597,2.012,C1,2.023,0.0219,3.153,-0.444,4.462,1.2181,2.9593,0.182,-14.735,0.0191,0.0133,-0.001,-0.0123,0.0573,0.001,1.51e-06,-0.0191,-7.28,-7.139875631,-6.75,-6.609064127,0.137804851,0.003131021,9.45,-0.03816,1.2168,16.634,-1.644,0.0013,16.513,-0.121,-1.25
2-3-5-6-OHBAI,c1(O)c(O)cc(O)c(O)c1(C#C(I)),I,OH,OH,H,42.5,2.13510132,2.0005,3.582,0.442,C1,2.0261,0.0256,3.052,-0.53,3.247,1.2189,2.9147,0.204,-15.051,0.0209,0.0145,-0.000887,-0.0136,0.0616,0.000887,1.39e-06,-0.0209,-8.59,-8.409584628,-8.04,-7.857236164,0.180882123,0.001881713,10.88,-0.04511,1.2173,16.607,-0.686,0.0016,16.457,-0.15,-0.333
2-3-5-6-SHBAI,c1(S)c(S)cc(S)c(S)c1(C#C(I)),I,SH,SH,H,41.8,2.134772901,1.9993,3.592,-1.197,C1,2.0246,0.0253,3.062,-0.53,1.605,1.218,2.9145,0.204,-15.428,0.0209,0.0145,-0.000888,-0.0136,0.0616,0.000888,3.65e-07,-0.0209,-8.57,-8.340193373,-8.0,-7.765297391,0.232755824,0.001946785,10.91,-0.04516,1.2162,16.666,1.113,0.0018,16.503,-0.163,1.52
2-4-6_BH2_3-5_CNBAI,c1(B)c(C#N)c(B)c(C#N)c(B)c1(C#C(I)),I,BH2,CN,BH2,44.2,2.134198653,1.9946,3.609,-6.779,C1,2.0233,0.0287,3.003,-0.606,-3.561,1.2185,2.8918,0.219,-15.744,0.0219,0.0152,-0.000802,-0.0144,0.0639,0.000802,1.44e-06,-0.0219,-9.3,-8.369851982,-8.72,-7.786609174,0.931724851,0.001665975,0.35,-0.04859,1.2137,16.862,6.625,0.0048,16.314,-0.548,6.261
2-4-6_BH2_3-5_FBAI,c1(B)c(F)c(B)c(F)c(B)c1(C#C(I)),I,BH2,F,BH2,39.6,2.137948709,1.9951,3.614,-5.622,C1,2.0187,0.0236,3.11,-0.504,-3.597,1.2157,2.928,0.197,-15.093,0.0204,0.0142,-0.000927,-0.0132,0.0603,0.000927,5.26e-07,-0.0204,-8.23,-8.071936827,-7.66,-7.499323996,0.158518312,0.002157691,10.4,-0.04275,1.2135,16.89,5.755,0.0022,16.674,-0.216,6.73
2-4-6_BH2_3-5_NO2BAI,c1(B)c(N(=O)=O)c(B)c(N(=O)=O)c(B)c1(C#C(I)),I,BH2,NO2,BH2,40.3,2.136947103,1.9977,3.595,-3.338,C1,2.0226,0.0249,3.071,-0.524,-0.889,1.2158,2.9192,0.202,-15.27,0.0207,0.0144,-0.000902,-0.0135,0.0612,0.000902,2.51e-06,-0.0207,-8.42,-8.240927645,-7.85,-7.668063849,0.179724996,0.002211155,10.68,-0.04421,1.2137,16.905,3.133,0.0021,16.698,-0.207,3.754
2-4-6_NH2_3-5_CNBAI,c1(N)c(C#N)c(N)c(C#N)c(N)c1(C#C(I)),I,NH2,CN,NH2,39.9,2.140023312,2.0013,3.588,2.733,C1,2.0254,0.0241,3.094,-0.494,5.454,1.2191,2.9334,0.193,-15.264,0.0201,0.014,-0.000939,-0.0131,0.0598,0.000939,2.78e-07,-0.0201,-8.09,-7.928607382,-7.53,-7.370013441,0.158040778,0.001945781,,-0.04175,1.2177,16.512,-2.732,0.0014,16.394,-0.118,-2.338
2-4-6_NH2_3-5_FBAI,c1(N)c(F)c(N)c(F)c(N)c1(C#C(I)),I,NH2,F,NH2,34.1,2.145043501,2.0009,3.599,3.132,C1,2.0231,0.0222,3.149,-0.45,5.552,1.2188,2.9574,0.182,-14.842,0.0192,0.0134,-0.000999,-0.0124,0.0575,0.000999,9.46e-07,-0.0192,-7.35,-7.198723472,-6.82,-6.672626319,0.144447667,0.002926014,9.51,-0.03845,1.2175,16.527,-2.907,0.0013,16.421,-0.106,-2.455
2-4-6_NH2_3-5_NO2BAI,c1(N)c(N(=O)=O)c(N)c(N(=O)=O)c(N)c1(C#C(I)),I,NH2,NO2,NH2,42.0,2.137621923,2.0014,3.583,2.253,C1,2.0265,0.0251,3.065,-0.518,5.103,1.2194,2.921,0.2,-15.434,0.0206,0.0143,-0.000904,-0.0134,0.061,0.000904,8.22e-07,-0.0206,-8.43,-8.258152781,-7.88,-7.703749022,0.174497842,0.001753136,,-0.04285,1.218,16.488,-2.384,0.0014,16.368,-0.12,-2.013
2-4-6_OH_3-5_CNBAI,c1(O)c(C#N)c(O)c(C#N)c(O)c1(C#C(I)),I,OH,CN,OH,49.5,2.127526087,1.9997,3.57,-0.684,C1,2.0286,0.0289,2.962,-0.608,2.461,1.2192,2.8804,0.224,-15.73,0.0223,0.0155,-0.000756,-0.0148,0.065,0.000756,4.03e-07,-0.0223,-9.7,-9.470444659,-9.11,-8.881849657,0.226807034,0.00134331,12.16,-0.05126,1.2174,16.583,-0.095,0.0018,16.416,-0.167,0.309
2-4-6_OH_3-5_FBAI,c1(O)c(F)c(O)c(F)c(O)c1(C#C(I)),I,OH,F,OH,43.1,2.133842751,2.0002,3.583,0.773,C1,2.0263,0.0261,3.039,-0.544,3.62,1.2194,2.9089,0.207,-15.181,0.0211,0.0147,-0.000869,-0.0138,0.0622,0.000869,2.45e-07,-0.0211,-8.75,-8.562005431,-8.19,-7.998403842,0.189564345,0.002031813,11.08,-0.04605,1.2178,16.552,-1.187,0.0016,16.406,-0.146,-0.813
2-4-6_SH_3-5_CNBAI,c1(S)c(C#N)c(S)c(C#N)c(S)c1(C#C(I)),I,SH,CN,SH,47.6,2.129741026,1.9989,3.583,-2.031,C1,2.0267,0.0278,2.995,-0.588,0.957,1.2182,2.889,0.22,-15.978,0.022,0.0153,-0.000792,-0.0145,0.0642,0.000792,4.17e-07,-0.022,-9.42,-9.213454419,-8.84,-8.630713408,0.207925273,0.001361319,,-0.04904,1.2163,16.655,1.528,0.0019,16.475,-0.18,2.052
2-4-6_SH_3-5_FBAI,c1(S)c(F)c(S)c(F)c(S)c1(C#C(I)),I,SH,F,SH,42.3,2.134616087,1.9991,3.593,-1.01,C1,2.0247,0.0256,3.055,-0.538,1.732,1.218,2.9117,0.206,-15.496,0.021,0.0146,-0.000878,-0.0137,0.0619,0.000878,2.39e-06,-0.021,-8.66,-8.476168407,-8.09,-7.909716332,0.178382125,0.001901542,11.01,-0.04561,1.2162,16.669,0.748,0.0018,16.505,-0.164,1.264
2-4-6-BH2BAI,c1(B)cc(B)cc(B)c1(C#C(I)),I,BH2,H,BH2,36.6,2.141017159,1.996,3.615,-4.349,C1,2.0184,0.0224,3.141,-0.474,-2.378,1.216,2.9427,0.189,-14.989,0.0198,0.0138,-0.000967,-0.0128,0.0589,0.000967,5.62e-07,-0.0198,-7.79,-7.644457275,-7.23,-7.085337411,0.142095134,0.002567455,9.92,-0.04047,1.214,16.859,4.731,0.002,16.66,-0.199,5.677
2-4-6-ClBAI,c1(Cl)cc(Cl)cc(Cl)c1(C#C(I)),I,Cl,H,Cl,37.0,2.139262792,1.9966,3.613,-2.864,C1,2.02,0.0234,3.121,-0.492,-0.507,1.2146,2.9363,0.192,-14.894,0.020008995,0.013936095,-0.000951891,-0.012984204,0.059551984,0.000951891,7.26e-07,-0.020008995,-7.91,-7.754488556,-7.34,-7.189309743,0.14794164,0.002748617,10.11,-0.04128,1.2127,16.999,2.728,0.0019,16.818,-0.181,3.335
2-4-6-CN-3-5-CF3BAI,c1(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c1(C#C(I)),I,CN,CF3,CN,48.6,2.125282292,1.9913,3.605,-9.95,C1,2.0204,0.0291,2.955,-0.65,-7.603,1.2162,2.867,0.232,-15.795,0.022946784,0.015922801,-0.000699591,-0.01522321,0.066489646,0.000699591,1.86e-06,-0.022946784,-10.05,-9.816980506,-9.43,-9.19390683,0.234186545,0.001906625,0.06,-0.05314,1.2135,16.873,8.495,0.0027,16.601,-0.272,9.586
2-4-6-CN-3-5-NO2BAI,c1(C#N)c(N(=O)=O)c(C#N)c(N(=O)=O)c(C#N)c1(C#C(I)),I,CN,NO2,CN,52.4,2.121165507,1.9902,3.604,-11.364,C1,2.0209,0.0307,2.91,-0.694,-9.015,1.217,2.8508,0.238,-16.025,0.023716166,0.016425175,-0.000613407,-0.015811768,0.068154423,0.000613407,9.53e-07,-0.023716166,-10.65,-10.3830129,-10.02,-9.755458749,0.262976681,0.001564569,62.25,-0.05612,1.2141,16.819,9.574,0.0029,16.525,-0.294,10.793
2-4-6-CNBAI,c1(C#N)cc(C#N)cc(C#N)c1(C#C(I)),I,CN,H,CN,44.7,2.128992303,1.9929,3.606,-7.97,C1,2.0203,0.0274,3.005,-0.601,-5.644,1.216,2.8859,0.223,-15.466,0.022090846,0.015355902,-0.000787371,-0.014568531,0.064573158,0.000787371,2.54e-06,-0.022090846,-9.4,-9.191819146,-8.79,-8.583689121,0.204094327,0.002216552,11.82,-0.04963,1.2135,16.896,6.931,0.0025,16.65,-0.246,7.897
2-4-6-F-3-5-CF3BAI,c1(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1(C#C(I)),I,F,CF3,F,42.4,2.133694955,1.9964,3.601,-3.825,C1,2.0222,0.0258,3.052,-0.549,-1.237,1.2142,2.9088,0.208,-15.022,0.021111012,0.014689368,-0.000870783,-0.013818585,0.062240659,0.000870783,3.04e-06,-0.021111012,-8.74,-8.555949964,-8.16,-7.975846607,0.182040506,0.002112887,10.99,-0.04573,1.2122,17.068,3.255,0.002,16.869,-0.199,3.828
2-4-6-F-3-5-NO2BAI,c1(F)c(N(=O)=O)c(F)c(N(=O)=O)c(F)c1(C#C(I)),I,F,NO2,F,45.9,2.129915313,1.9956,3.599,-4.988,C1,2.023,0.0274,3.013,-0.586,-2.315,1.2145,2.8928,0.218,-15.273,0.021794315,0.015145966,-0.000810167,-0.014335799,0.063824591,0.000810167,1.06e-06,-0.021794315,-9.26,-9.055949534,-8.68,-8.477692443,0.200545761,0.001761796,11.57,-0.04854,1.2123,17.056,4.188,0.0022,16.842,-0.214,4.825
2-4-6-FBAI,c1(F)cc(F)cc(F)c1(C#C(I)),I,F,H,F,36.1,2.139657257,1.9976,3.609,-1.605,C1,2.0208,0.0232,3.126,-0.483,0.82,1.2142,2.9408,0.19,-14.56,0.019828162,0.013813599,-0.000964408,-0.012849191,0.059112067,0.000964408,1.48e-06,-0.019828162,-7.76,-7.611025451,-7.21,-7.060558613,0.146451305,0.002990083,9.92,-0.04058,1.2125,17.047,1.473,0.0017,16.877,-0.17,1.939
2-4-6-NH2BAI,c1(N)cc(N)cc(N)c1(C#C(I)),I,NH2,H,NH2,30.8,2.148733743,2.0016,3.6,4.419,C1,2.0225,0.0209,3.182,-0.418,6.765,1.2194,2.9741,0.177,-14.741,0.0186,0.013,-0.00103,-0.0119,0.0559,0.00103,7.14e-07,-0.0186,-6.88,-6.742706671,-6.35,-6.215902412,0.130563392,0.003534196,9.02,-0.03609,1.2183,16.444,-3.935,0.0011,16.356,-0.088,-3.521
2-4-6-OHBAI,c1(O)cc(O)cc(O)c1(C#C(I)),I,OH,H,OH,39.2,2.138038044,2.0008,3.587,2.037,C1,2.0253,0.0245,3.082,-0.505,4.771,1.2198,2.9273,0.196,-14.997,0.0204,0.0142,-0.000926,-0.0132,0.0604,0.000926,5.69e-07,-0.0204,-8.18,-8.006985828,-7.63,-7.459901188,0.167760272,0.00233854,10.44,-0.04299,1.2183,16.491,-2.19,0.0015,16.364,-0.127,-1.849
2-4-6-SHBAI,c1(S)cc(S)cc(S)c1(C#C(I)),I,SH,H,SH,39.4,2.137555887,1.9997,3.595,0.061,C1,2.0241,0.0244,3.087,-0.508,2.736,1.2181,2.9261,0.197,-15.34,0.0204,0.0142,-0.000922,-0.0133,0.0605,0.000922,1.87e-06,-0.0204,-8.22,-8.053879613,-7.66,-7.496782457,0.160968737,0.002248806,10.52,-0.04326,1.2164,16.638,-0.097,0.0017,16.488,-0.15,0.37
2-6_NH2_3-4-5_CNBAI,c1(N)c(C#N)c(C#N)c(C#N)c(N)c1(C#C(I)),I,NH2,CN,CN,48.0,2.132282919,2.0001,3.576,-0.979,C1,2.0272,0.0271,3.006,-0.57,1.905,1.2186,2.8969,0.215,-15.689,0.0216,0.015,-0.00082,-0.0142,0.0634,0.00082,1.1e-06,-0.0216,-9.25,-9.049847632,-8.67,-8.473394873,0.195456032,0.001149095,,-0.04801,1.2168,16.618,0.523,0.0018,16.454,-0.164,1.073
